participantId,group,lecture_type,practice_type,source_file,trialId,responseId,responsePrompt,answer,duration,cleanedDuration,status,percentComplete,answer_length
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,assessment intro,additional-questions,NA,"I still don't understand what you want me to learn.  I must have a learning disability, because the way you explain things, and how my brain works, is nowhere close.  I need to know how calculations are made across a variety of outcomes and explained in concrete terms, not just concepts, as you explained.  I need real-world examples and every step of the calculation to be shown, and how you got those numbers.  I think I am too stupid for this test.  If I am, please allow me the opportunity to return this study if it is completely unusable, instead of getting penalized with a rejection.",369233,369233,completed,100,592
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,assessment questions part one,q-correlation,"In your own words, please describe what a correlation is:","The rate at which the data is ""moving together.""",66902,66902,completed,100,48
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,assessment questions part one,q-motivation,"You have now finished the learning part of the experiment. Next up we have some questions about what you learned and how you felt about the online lecture.

But first,if there is time at the end, would you be interested in trying another problem?",No,66902,66902,completed,100,2
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,assessment questions part one,q-slope,"In your own words, please describe what a slope is:",The trend that the overall data is suggesting.,66902,66902,completed,100,46
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,connection-making,q-different,Please list as many ways slope and correlation are different as you can think of.,"The slope shows the trend, and the correlation shows the relationship.",147727,147727,completed,100,70
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,connection-making,q-same,Please list as many ways slope and correlation are the same as you can think of.,They move together.,147727,147727,completed,100,19
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-a,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I don't know.  I am stupid.,147727,147727,completed,100,27
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-b,b. What would happen to the slope?,I don't know.  I never felt so stupid in my life.,147727,147727,completed,100,49
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,control-axis-swap-correlation,axis_swap_correlation_response,NA,The correlation stayed the same,20743,20743,completed,100,31
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,control-axis-swap-slope,axis_swap_slope_response,NA,The slope stayed the same,38878,38878,completed,100,25
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,1,11185,11185,completed,100,1
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",1,11185,11185,completed,100,1
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,1,11185,11185,completed,100,1
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,1,11185,11185,completed,100,1
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,pre questions,q-correlation,"In your own words, please describe what a correlation is:",How much the cause and effect of two sequences relate and influence one another.,141977,141977,completed,100,80
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,pre questions,q-slope,"In your own words, please describe what a slope is:",The direction of momentum.,141977,141977,completed,100,26
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,assessment intro,additional-questions,NA,The only question I really have is if the slope is shaped like a U or oval does that mean the correlation would be 0,87066,87066,completed,100,116
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,assessment questions part one,q-correlation,"In your own words, please describe what a correlation is:",Correlation is how each plot correlates to the next plot,52367,52367,completed,100,56
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,assessment questions part one,q-motivation,"You have now finished the learning part of the experiment. Next up we have some questions about what you learned and how you felt about the online lecture.

But first,if there is time at the end, would you be interested in trying another problem?",No,52367,52367,completed,100,2
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,assessment questions part one,q-slope,"In your own words, please describe what a slope is:",A slope is a line that shows the trend of data,52367,52367,completed,100,46
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,connection-making,q-different,Please list as many ways slope and correlation are different as you can think of.,Correlation shows if the data is positive negative or zero while the slope tells how far apart the scattered dots are,152900,152900,completed,100,117
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,connection-making,q-same,Please list as many ways slope and correlation are the same as you can think of.,"They both represent a set of data, they both show how the data is distributed",152900,152900,completed,100,77
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-a,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I would say the correlation would be negative because the number is decreasing,152900,152900,completed,100,78
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-b,b. What would happen to the slope?,I would say the slope would trend downwards again because the number decreased,152900,152900,completed,100,78
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,control-axis-swap-correlation,axis_swap_correlation_response,NA,"The correlation value did not change, but the sign changed.",30583,30583,completed,100,59
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,4,13003,13003,completed,100,1
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",3,13003,13003,completed,100,1
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,3,13003,13003,completed,100,1
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,4,13003,13003,completed,100,1
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,pre questions,q-correlation,"In your own words, please describe what a correlation is:",Correlation to me means something directly related to something else.,65568,65568,completed,100,69
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,pre questions,q-slope,"In your own words, please describe what a slope is:",A slope is a downward trend of a statistic.,65568,65568,completed,100,43
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,assessment intro,additional-questions,NA,"correlation is clear, slope is hard to determine the amount change",58252,58252,completed,100,66
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,assessment questions part one,q-correlation,"In your own words, please describe what a correlation is:","When one access goes a certain way, the other axis changes accordingly in a pattern",115282,115282,completed,100,83
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,assessment questions part one,q-motivation,"You have now finished the learning part of the experiment. Next up we have some questions about what you learned and how you felt about the online lecture.

But first,if there is time at the end, would you be interested in trying another problem?",Yes,115282,115282,completed,100,3
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,assessment questions part one,q-slope,"In your own words, please describe what a slope is:",The rate of change or the amount when it fluctuates from the correlation,115282,115282,completed,100,72
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,connection-making,q-different,Please list as many ways slope and correlation are different as you can think of.,"the correlation can negative and positive, the slope is always a positive number",151509,151509,completed,100,80
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,connection-making,q-same,Please list as many ways slope and correlation are the same as you can think of.,"it there IS a correlation, there will be a slope, the higher the correlation, the closer the slope",151509,151509,completed,100,98
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-a,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",it wouold change to a negative correlation,151509,151509,completed,100,42
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-b,b. What would happen to the slope?,nothing would just invert,151509,151509,completed,100,25
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,control-axis-swap-correlation,axis_swap_correlation_response,NA,The correlation stayed the same,25839,25839,completed,100,31
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,6,23081,23081,completed,100,1
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",1,23081,23081,completed,100,1
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,5,23081,23081,completed,100,1
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,5,23081,23081,completed,100,1
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,pre questions,q-correlation,"In your own words, please describe what a correlation is:","when one thing changes, the other changes as well",62485,62485,completed,100,49
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,pre questions,q-slope,"In your own words, please describe what a slope is:",when numbers keep going in the same direction?,62485,62485,completed,100,46
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,assessment intro,additional-questions,NA,I don't have any more questions.,30797,30797,completed,100,32
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,assessment questions part one,q-correlation,"In your own words, please describe what a correlation is:",A relationship between variables that don't necessarily cause each other's relationship,35938,35938,completed,100,87
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,assessment questions part one,q-motivation,"You have now finished the learning part of the experiment. Next up we have some questions about what you learned and how you felt about the online lecture.

But first,if there is time at the end, would you be interested in trying another problem?",No,35938,35938,completed,100,2
