participantId,trialId,trialOrder,responseId,stage,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,parameters_src,parameters_taskid,parameters_nextButtonText,parameters_maxWidth,parameters_margin,parameters_aspectRatio,parameters_hideNextUntilComplete,parameters_preventSeek,parameters_question,parameters_imgSrc,parameters_imgLabel,parameters_statType,parameters_responseId,parameters_instruction,parameters_imgSrcs,parameters_imgLabels,parameters_options,parameters_questionType,parameters_rankPrompts,parameters_pickQuestion,parameters_pickOptions,parameters_title,parameters_intro,parameters_sections,parameters_leftImgSrc,parameters_rightImgSrc,parameters_leftLabel,parameters_rightLabel,parameters_requiredPoints,parameters_seedPoints,parameters_gifSrc,lecture_type,practice_type,group,source_file,parameters_minTasks,parameters_height,parameters_expectedSource
5e0b388b15ef4037cebdecc9,add-points-1,57,add_points,DEFAULT,completed,NA,NA,NA,100,NA,NA,"[{""pointIndex"":1,""point"":{""x"":0.2597,""y"":-0.1512},""before"":{""r"":0.4211,""slope"":0.3156},""after"":{""r"":0.3321,""slope"":0.25}},{""pointIndex"":2,""point"":{""x"":-0.0542,""y"":0.0775},""before"":{""r"":0.3321,""slope"":0.25},""after"":{""r"":0.3278,""slope"":0.2464}},{""pointIndex"":3,""point"":{""x"":0.5507,""y"":0.2541},""before"":{""r"":0.3278,""slope"":0.2464},""after"":{""r"":0.3953,""slope"":0.2752}},{""pointIndex"":4,""point"":{""x"":0.2996,""y"":0.3892},""before"":{""r"":0.3953,""slope"":0.2752},""after"":{""r"":0.4323,""slope"":0.3168}},{""pointIndex"":5,""point"":{""x"":-0.4593,""y"":-0.2655},""before"":{""r"":0.4323,""slope"":0.3168},""after"":{""r"":0.5148,""slope"":0.3711}},{""pointIndex"":6,""point"":{""x"":-0.1854,""y"":-0.4837},""before"":{""r"":0.5148,""slope"":0.3711},""after"":{""r"":0.5235,""slope"":0.4276}}]",NA,22081,22081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,add_points,"Please add 6 points that will positively increase the correlation, but not change the slope.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"[{""x"":-0.4,""y"":-0.4},{""x"":-0.45,""y"":0.3},{""x"":-0.3,""y"":0.2},{""x"":-0.2,""y"":-0.15},{""x"":-0.01,""y"":-0.2},{""x"":0.1,""y"":0.15},{""x"":0.3,""y"":0.05},{""x"":0.4,""y"":0.15},{""x"":0.51,""y"":0.45}]",NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,add-points-1,57,windowEvents,DEFAULT,NA,NA,NA,NA,NA,NA,NA,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":53,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":0,""visibility"":0}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,add-points-2,58,add_points,DEFAULT,completed,NA,NA,NA,100,NA,NA,"[{""pointIndex"":1,""point"":{""x"":-0.3281,""y"":0.7426},""before"":{""r"":0.4211,""slope"":0.3156},""after"":{""r"":0.1165,""slope"":0.1101}},{""pointIndex"":2,""point"":{""x"":0.99,""y"":0.2385},""before"":{""r"":0.1165,""slope"":0.1101},""after"":{""r"":0.1559,""slope"":0.1083}},{""pointIndex"":3,""point"":{""x"":0.8131,""y"":-0.3746},""before"":{""r"":0.1559,""slope"":0.1083},""after"":{""r"":-0.0741,""slope"":-0.0513}},{""pointIndex"":4,""point"":{""x"":0.6077,""y"":-0.8578},""before"":{""r"":-0.0741,""slope"":-0.0513},""after"":{""r"":-0.233,""slope"":-0.2003}},{""pointIndex"":5,""point"":{""x"":0.3509,""y"":-0.6916},""before"":{""r"":-0.233,""slope"":-0.2003},""after"":{""r"":-0.2568,""slope"":-0.2432}},{""pointIndex"":6,""point"":{""x"":0.6191,""y"":-0.8474},""before"":{""r"":-0.2568,""slope"":-0.2432},""after"":{""r"":-0.3333,""slope"":-0.3412}},{""pointIndex"":7,""point"":{""x"":0.6077,""y"":-0.8509},""before"":{""r"":-0.3333,""slope"":-0.3412},""after"":{""r"":-0.3851,""slope"":-0.4165}},{""pointIndex"":8,""point"":{""x"":0.5963,""y"":-0.8509},""before"":{""r"":-0.3851,""slope"":-0.4165},""after"":{""r"":-0.4221,""slope"":-0.4759}},{""pointIndex"":9,""point"":{""x"":0.5963,""y"":-0.8509},""before"":{""r"":-0.4221,""slope"":-0.4759},""after"":{""r"":-0.451,""slope"":-0.525}},{""pointIndex"":10,""point"":{""x"":0.5963,""y"":-0.8509},""before"":{""r"":-0.451,""slope"":-0.525},""after"":{""r"":-0.4742,""slope"":-0.5662}},{""pointIndex"":11,""point"":{""x"":-0.5449,""y"":0.1156},""before"":{""r"":-0.4742,""slope"":-0.5662},""after"":{""r"":-0.4914,""slope"":-0.5456}}]",NA,42988,42988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,add_points,"Please add 6 points that will negatively increase the correlation, but not change the slope.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"[{""x"":-0.4,""y"":-0.4},{""x"":-0.45,""y"":0.3},{""x"":-0.3,""y"":0.2},{""x"":-0.2,""y"":-0.15},{""x"":-0.01,""y"":-0.2},{""x"":0.1,""y"":0.15},{""x"":0.3,""y"":0.05},{""x"":0.4,""y"":0.15},{""x"":0.51,""y"":0.45}]",NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,add-points-2,58,windowEvents,DEFAULT,NA,NA,NA,NA,NA,NA,NA,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":141,""mousedown"":24,""mouseup"":25,""resize"":0,""scroll"":4,""visibility"":0}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,add-points-3,59,add_points,DEFAULT,completed,NA,NA,NA,100,NA,NA,"[{""pointIndex"":1,""point"":{""x"":0.2311,""y"":-0.1754},""before"":{""r"":0.4211,""slope"":0.3156},""after"":{""r"":0.3318,""slope"":0.2533}},{""pointIndex"":2,""point"":{""x"":0.3852,""y"":-0.2689},""before"":{""r"":0.3318,""slope"":0.2533},""after"":{""r"":0.1827,""slope"":0.1408}},{""pointIndex"":3,""point"":{""x"":-0.3338,""y"":-0.4352},""before"":{""r"":0.1827,""slope"":0.1408},""after"":{""r"":0.2995,""slope"":0.2452}},{""pointIndex"":4,""point"":{""x"":0.4879,""y"":0.4741},""before"":{""r"":0.2995,""slope"":0.2452},""after"":{""r"":0.4144,""slope"":0.3549}},{""pointIndex"":5,""point"":{""x"":0.2711,""y"":0.2559},""before"":{""r"":0.4144,""slope"":0.3549},""after"":{""r"":0.435,""slope"":0.3764}},{""pointIndex"":6,""point"":{""x"":0.2654,""y"":0.2455},""before"":{""r"":0.435,""slope"":0.3764},""after"":{""r"":0.4505,""slope"":0.3927}}]",NA,23913,23913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,add_points,"Please add 6 points that will move the correlation closer to 0, but not change the slope.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"[{""x"":-0.4,""y"":-0.4},{""x"":-0.45,""y"":0.3},{""x"":-0.3,""y"":0.2},{""x"":-0.2,""y"":-0.15},{""x"":-0.01,""y"":-0.2},{""x"":0.1,""y"":0.15},{""x"":0.3,""y"":0.05},{""x"":0.4,""y"":0.15},{""x"":0.51,""y"":0.45}]",NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
5e0b388b15ef4037cebdecc9,add-points-3,59,windowEvents,DEFAULT,NA,NA,NA,NA,NA,NA,NA,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":71,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":0,""visibility"":0}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
64012ee6e3f2e59aaa36f718,add-points-1,57,add_points,DEFAULT,completed,NA,NA,NA,100,NA,NA,"[{""pointIndex"":1,""point"":{""x"":0.5105,""y"":-0.3865},""before"":{""r"":0.4211,""slope"":0.3156},""after"":{""r"":0.1153,""slope"":0.0892}},{""pointIndex"":2,""point"":{""x"":0.7139,""y"":0.5702},""before"":{""r"":0.1153,""slope"":0.0892},""after"":{""r"":0.3431,""slope"":0.2702}},{""pointIndex"":3,""point"":{""x"":0.9091,""y"":0.6955},""before"":{""r"":0.3431,""slope"":0.2702},""after"":{""r"":0.5149,""slope"":0.405}},{""pointIndex"":4,""point"":{""x"":0.3072,""y"":0.3045},""before"":{""r"":0.5149,""slope"":0.405},""after"":{""r"":0.5201,""slope"":0.4122}},{""pointIndex"":5,""point"":{""x"":-0.0181,""y"":0.0235},""before"":{""r"":0.5201,""slope"":0.4122},""after"":{""r"":0.5251,""slope"":0.4143}},{""pointIndex"":6,""point"":{""x"":-0.311,""y"":-0.2498},""before"":{""r"":0.5251,""slope"":0.4143},""after"":{""r"":0.5653,""slope"":0.4457}},{""pointIndex"":7,""point"":{""x"":-0.5224,""y"":-0.5459},""before"":{""r"":0.5653,""slope"":0.4457},""after"":{""r"":0.6361,""slope"":0.5202}}]",NA,24415,24415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,add_points,"Please add 6 points that will positively increase the correlation, but not change the slope.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"[{""x"":-0.4,""y"":-0.4},{""x"":-0.45,""y"":0.3},{""x"":-0.3,""y"":0.2},{""x"":-0.2,""y"":-0.15},{""x"":-0.01,""y"":-0.2},{""x"":0.1,""y"":0.15},{""x"":0.3,""y"":0.05},{""x"":0.4,""y"":0.15},{""x"":0.51,""y"":0.45}]",NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
64012ee6e3f2e59aaa36f718,add-points-1,57,windowEvents,DEFAULT,NA,NA,NA,NA,NA,NA,NA,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":62,""mousedown"":8,""mouseup"":8,""resize"":0,""scroll"":0,""visibility"":0}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
64012ee6e3f2e59aaa36f718,add-points-2,58,add_points,DEFAULT,completed,NA,NA,NA,100,NA,NA,"[{""pointIndex"":1,""point"":{""x"":-0.6526,""y"":0.1868},""before"":{""r"":0.4211,""slope"":0.3156},""after"":{""r"":0.2737,""slope"":0.1774}},{""pointIndex"":2,""point"":{""x"":-0.3272,""y"":0.0881},""before"":{""r"":0.2737,""slope"":0.1774},""after"":{""r"":0.2643,""slope"":0.1677}},{""pointIndex"":3,""point"":{""x"":-0.0507,""y"":0.0653},""before"":{""r"":0.2643,""slope"":0.1677},""after"":{""r"":0.2637,""slope"":0.1672}},{""pointIndex"":4,""point"":{""x"":0.1811,""y"":-0.022},""before"":{""r"":0.2637,""slope"":0.1672},""after"":{""r"":0.2305,""slope"":0.1439}},{""pointIndex"":5,""point"":{""x"":0.3926,""y"":-0.0638},""before"":{""r"":0.2305,""slope"":0.1439},""after"":{""r"":0.1592,""slope"":0.0947}},{""pointIndex"":6,""point"":{""x"":0.6895,""y"":-0.0562},""before"":{""r"":0.1592,""slope"":0.0947},""after"":{""r"":0.0732,""slope"":0.0388}}]",NA,13086,13086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,add_points,"Please add 6 points that will negatively increase the correlation, but not change the slope.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"[{""x"":-0.4,""y"":-0.4},{""x"":-0.45,""y"":0.3},{""x"":-0.3,""y"":0.2},{""x"":-0.2,""y"":-0.15},{""x"":-0.01,""y"":-0.2},{""x"":0.1,""y"":0.15},{""x"":0.3,""y"":0.05},{""x"":0.4,""y"":0.15},{""x"":0.51,""y"":0.45}]",NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
64012ee6e3f2e59aaa36f718,add-points-2,58,windowEvents,DEFAULT,NA,NA,NA,NA,NA,NA,NA,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":27,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":0,""visibility"":0}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Control,CC,main-control-control.csv,NA,NA,NA
