participantId,group,lecture_type,practice_type,source_file,trialId,responseId,responsePrompt,answer,duration,cleanedDuration,status,percentComplete
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,connection-making,q-different,Please list as many ways slope and correlation are different as you can think of.,"The slope shows the trend, and the correlation shows the relationship.",147727,147727,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,connection-making,q-same,Please list as many ways slope and correlation are the same as you can think of.,They move together.,147727,147727,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-a,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I don't know.  I am stupid.,147727,147727,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-b,b. What would happen to the slope?,I don't know.  I never felt so stupid in my life.,147727,147727,completed,100
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,connection-making,q-different,Please list as many ways slope and correlation are different as you can think of.,Correlation shows if the data is positive negative or zero while the slope tells how far apart the scattered dots are,152900,152900,completed,100
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,connection-making,q-same,Please list as many ways slope and correlation are the same as you can think of.,"They both represent a set of data, they both show how the data is distributed",152900,152900,completed,100
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-a,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I would say the correlation would be negative because the number is decreasing,152900,152900,completed,100
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-b,b. What would happen to the slope?,I would say the slope would trend downwards again because the number decreased,152900,152900,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,connection-making,q-different,Please list as many ways slope and correlation are different as you can think of.,"the correlation can negative and positive, the slope is always a positive number",151509,151509,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,connection-making,q-same,Please list as many ways slope and correlation are the same as you can think of.,"it there IS a correlation, there will be a slope, the higher the correlation, the closer the slope",151509,151509,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-a,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",it wouold change to a negative correlation,151509,151509,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-b,b. What would happen to the slope?,nothing would just invert,151509,151509,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,connection-making,q-different,Please list as many ways slope and correlation are different as you can think of.,Slope is the decline or incline of the line on the graph and correlation is how far the points are from the line,134056,134056,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,connection-making,q-same,Please list as many ways slope and correlation are the same as you can think of.,They're not the same... I don't know how to answer this question,134056,134056,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-a,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",The correlation would remain the same but maybe be negative,134056,134056,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-b,b. What would happen to the slope?,The slope would remain the same but I actually don't know.,134056,134056,completed,100
663eb286696a0a72e8f06e0f,CC,Control,Control,main-control-control.csv,connection-making,q-different,Please list as many ways slope and correlation are different as you can think of.,I don't understand the question,201985,201985,completed,100
663eb286696a0a72e8f06e0f,CC,Control,Control,main-control-control.csv,connection-making,q-same,Please list as many ways slope and correlation are the same as you can think of.,the would both have to be 1,201985,201985,completed,100
663eb286696a0a72e8f06e0f,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-a,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",the correlation would stay the same,201985,201985,completed,100
663eb286696a0a72e8f06e0f,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-b,b. What would happen to the slope?,the slop does change,201985,201985,completed,100
6985cae61f4f48abdf956530,CC,Control,Control,main-control-control.csv,connection-making,q-different,Please list as many ways slope and correlation are different as you can think of.,They are completely different.  One value (slope) tells us the change in values within an entire data set or from one specific vale top another.  Correlation tells us how adjacent a value on one axis is to a value on the other axis.,503174,503174,completed,100
6985cae61f4f48abdf956530,CC,Control,Control,main-control-control.csv,connection-making,q-same,Please list as many ways slope and correlation are the same as you can think of.,I honestly dont see how they are related at all.  They tell us two entirely different things about the same set of data.,503174,503174,completed,100
6985cae61f4f48abdf956530,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-a,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I truly dont know.  Intutively it seems it would stay roughly the same.  If I saw a graph I might could tell you.,503174,503174,completed,100
6985cae61f4f48abdf956530,CC,Control,Control,main-control-control.csv,connection-making,switch-question-response-b,b. What would happen to the slope?,"Exact same answer.  I am just not sure without seeing the actual graph.  The numbers part of this is the most confusing piece.  Which, since this is statistics, that is a problem.",503174,503174,completed,100
698b661701f0981576ed9dec,CC,Control,Control,main-control-control.csv,connection-making,q-different,Please list as many ways slope and correlation are different as you can think of.,I don't know how to answer this question,199794,199794,completed,100
698b661701f0981576ed9dec,CC,Control,Control,main-control-control.csv,connection-making,q-same,Please list as many ways slope and correlation are the same as you can think of.,I don't know how to answer this question.,199794,199794,completed,100
