participantId,group,lecture_type,practice_type,assessment_connection_q-different,assessment_connection_q-same,assessment_connection_switch-question-response-a,assessment_connection_switch-question-response-b
5e0b388b15ef4037cebdecc9,CC,Control,Control,"The slope shows the trend, and the correlation shows the relationship.",They move together.,I don't know.  I am stupid.,I don't know.  I never felt so stupid in my life.
64012ee6e3f2e59aaa36f718,CC,Control,Control,Correlation shows if the data is positive negative or zero while the slope tells how far apart the scattered dots are,"They both represent a set of data, they both show how the data is distributed",I would say the correlation would be negative because the number is decreasing,I would say the slope would trend downwards again because the number decreased
6448503fab8d495eb76b51b0,CC,Control,Control,"the correlation can negative and positive, the slope is always a positive number","it there IS a correlation, there will be a slope, the higher the correlation, the closer the slope",it wouold change to a negative correlation,nothing would just invert
65ccca52871269168cc029b5,CC,Control,Control,Slope is the decline or incline of the line on the graph and correlation is how far the points are from the line,They're not the same... I don't know how to answer this question,The correlation would remain the same but maybe be negative,The slope would remain the same but I actually don't know.
663eb286696a0a72e8f06e0f,CC,Control,Control,I don't understand the question,the would both have to be 1,the correlation would stay the same,the slop does change
6985cae61f4f48abdf956530,CC,Control,Control,They are completely different.  One value (slope) tells us the change in values within an entire data set or from one specific vale top another.  Correlation tells us how adjacent a value on one axis is to a value on the other axis.,I honestly dont see how they are related at all.  They tell us two entirely different things about the same set of data.,I truly dont know.  Intutively it seems it would stay roughly the same.  If I saw a graph I might could tell you.,"Exact same answer.  I am just not sure without seeing the actual graph.  The numbers part of this is the most confusing piece.  Which, since this is statistics, that is a problem."
698b661701f0981576ed9dec,CC,Control,Control,I don't know how to answer this question,I don't know how to answer this question.,the correlation would stay the same and the slope would change.,it would change
69991d70dd2583a349d03468,CC,Control,Control,they measure 2 different things,"both are measurements, both are in relation to graphs",correlation would increase I think,slope would stay the same I think
699a436ee9032e2b2333d3c1,CC,Control,Control,"correlation measure direction and strength while slope measure rate of change, correlation values is between -1 and 1 while slope is not, correlation is unitless while slope has units.","Both describe a relationship, Both use the same data, if slope is 0 correlation is also 0, the sign of the slope and correlation is always the same.",Correlation would stay the same,The slope would become steeper it would be greater than .25 no sign change.
69b5d74131631c0333607bec,CC,Control,Control,"Slope and correlation are different because slope has units (unit of y / unit of x) while correlation is unitless, slope has infinite range while correlation ranges from -1 to 1, and correlation doesn't change when you swap x and y while slope does.","Slope and correlation are the same because both describe the relationship between variables, involve direction, and are related to change in y over change in x.",Correlation would stay the same since the variables themselves aren't changing.,"Since the slope is 0 < (m = 0.25) < 1, switching X and Y would cause the slope to positively increase."
