participantId,group,lecture_type,practice_type,source_file,trialId,responseId,responsePrompt,answer,duration,cleanedDuration,status,percentComplete
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,futureInterestSurvey,interest_any_study,NA,1,9007,9007,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,futureInterestSurvey,interest_dynamic_vis_study,NA,1,9007,9007,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,futureInterestSurvey,interest_statistics_study,NA,1,9007,9007,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,futureInterestSurvey,windowEvents,NA,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":35,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":3,""visibility"":0}",NA,NA,NA,NA
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,1,11185,11185,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",1,11185,11185,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,1,11185,11185,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,1,11185,11185,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,maintainedSituationalInterest,windowEvents,NA,"{""focus"":5,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":36,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":5,""visibility"":0}",NA,NA,NA,NA
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_boring_video,The correlation and slope video was boring,5,18919,18919,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_enjoyed_learning,I've enjoyed learning new things,1,18919,18919,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_enjoyed_session,I've enjoyed this session,1,18919,18919,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_fun_stats,It's been fun to learn about statistics this way,1,18919,18919,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_fun_video,It was fun to watch the video,1,18919,18919,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_session_boring,This session has been boring,4,18919,18919,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_session_fun,This session has been fun,1,18919,18919,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,tsi_session_interesting,This session has been interesting,1,18919,18919,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,triggeredSituationalInterest,windowEvents,NA,"{""focus"":9,""input"":8,""keydown"":0,""keyup"":0,""mousemove"":74,""mousedown"":10,""mouseup"":10,""resize"":0,""scroll"":6,""visibility"":0}",NA,NA,NA,NA
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,futureInterestSurvey,interest_any_study,NA,5,9609,9609,completed,100
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,futureInterestSurvey,interest_dynamic_vis_study,NA,4,9609,9609,completed,100
