participantId,group,lecture_type,practice_type,interest_futureInterestSurvey__interest_any_study,interest_futureInterestSurvey__interest_dynamic_vis_study,interest_futureInterestSurvey__interest_statistics_study,interest_futureInterestSurvey__windowEvents,interest_maintainedSituationalInterest__msi_enjoyed_learning,interest_maintainedSituationalInterest__msi_excited,interest_maintainedSituationalInterest__msi_interesting_corrslope,interest_maintainedSituationalInterest__msi_interesting_stats,interest_maintainedSituationalInterest__windowEvents,interest_triggeredSituationalInterest__tsi_boring_video,interest_triggeredSituationalInterest__tsi_enjoyed_learning,interest_triggeredSituationalInterest__tsi_enjoyed_session,interest_triggeredSituationalInterest__tsi_fun_stats,interest_triggeredSituationalInterest__tsi_fun_video,interest_triggeredSituationalInterest__tsi_session_boring,interest_triggeredSituationalInterest__tsi_session_fun,interest_triggeredSituationalInterest__tsi_session_interesting,interest_triggeredSituationalInterest__windowEvents
5e0b388b15ef4037cebdecc9,CC,Control,Control,1,1,1,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":35,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":3,""visibility"":0}",1,1,1,1,"{""focus"":5,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":36,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":5,""visibility"":0}",5,1,1,1,1,4,1,1,"{""focus"":9,""input"":8,""keydown"":0,""keyup"":0,""mousemove"":74,""mousedown"":10,""mouseup"":10,""resize"":0,""scroll"":6,""visibility"":0}"
64012ee6e3f2e59aaa36f718,CC,Control,Control,5,4,5,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":24,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":0,""visibility"":0}",4,3,3,4,"{""focus"":5,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":24,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":1,""visibility"":0}",3,6,5,5,5,2,5,5,"{""focus"":9,""input"":8,""keydown"":0,""keyup"":0,""mousemove"":65,""mousedown"":11,""mouseup"":11,""resize"":0,""scroll"":7,""visibility"":0}"
6448503fab8d495eb76b51b0,CC,Control,Control,6,6,6,"{""focus"":0,""input"":0,""keydown"":4,""keyup"":1,""mousemove"":24,""mousedown"":4,""mouseup"":5,""resize"":0,""scroll"":4,""visibility"":0}",6,1,5,5,"{""focus"":6,""input"":4,""keydown"":7,""keyup"":7,""mousemove"":43,""mousedown"":8,""mouseup"":7,""resize"":0,""scroll"":9,""visibility"":0}",3,6,6,6,5,1,5,6,"{""focus"":8,""input"":8,""keydown"":10,""keyup"":8,""mousemove"":54,""mousedown"":11,""mouseup"":12,""resize"":0,""scroll"":10,""visibility"":0}"
65ccca52871269168cc029b5,CC,Control,Control,6,6,6,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":16,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":2,""visibility"":0}",1,1,2,2,"{""focus"":6,""input"":5,""keydown"":0,""keyup"":0,""mousemove"":18,""mousedown"":7,""mouseup"":7,""resize"":0,""scroll"":3,""visibility"":0}",6,2,2,1,2,6,1,2,"{""focus"":9,""input"":8,""keydown"":0,""keyup"":0,""mousemove"":37,""mousedown"":11,""mouseup"":11,""resize"":0,""scroll"":3,""visibility"":0}"
663eb286696a0a72e8f06e0f,CC,Control,Control,6,6,6,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":16,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":2,""visibility"":0}",5,3,4,2,"{""focus"":5,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":28,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":1,""visibility"":0}",1,6,6,5,6,2,3,6,"{""focus"":9,""input"":8,""keydown"":0,""keyup"":0,""mousemove"":51,""mousedown"":12,""mouseup"":12,""resize"":0,""scroll"":2,""visibility"":0}"
6985cae61f4f48abdf956530,CC,Control,Control,6,6,6,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":25,""mousedown"":6,""mouseup"":6,""resize"":0,""scroll"":5,""visibility"":0}",6,6,6,6,"{""focus"":5,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":39,""mousedown"":8,""mouseup"":8,""resize"":0,""scroll"":6,""visibility"":0}",2,6,6,6,6,1,6,6,"{""focus"":9,""input"":8,""keydown"":0,""keyup"":0,""mousemove"":59,""mousedown"":13,""mouseup"":13,""resize"":0,""scroll"":18,""visibility"":0}"
698b661701f0981576ed9dec,CC,Control,Control,6,5,6,"{""focus"":1,""input"":0,""keydown"":3,""keyup"":3,""mousemove"":42,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":0,""visibility"":0}",4,5,4,5,"{""focus"":5,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":37,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":1,""visibility"":0}",1,4,3,5,4,1,3,4,"{""focus"":9,""input"":8,""keydown"":10,""keyup"":8,""mousemove"":87,""mousedown"":11,""mouseup"":11,""resize"":0,""scroll"":7,""visibility"":0}"
69991d70dd2583a349d03468,CC,Control,Control,5,2,1,"{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":27,""mousedown"":5,""mouseup"":4,""resize"":0,""scroll"":5,""visibility"":0}",1,1,1,1,"{""focus"":5,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":26,""mousedown"":9,""mouseup"":9,""resize"":0,""scroll"":5,""visibility"":0}",6,1,1,1,1,5,1,1,"{""focus"":9,""input"":9,""keydown"":0,""keyup"":0,""mousemove"":36,""mousedown"":11,""mouseup"":12,""resize"":0,""scroll"":9,""visibility"":0}"
699a436ee9032e2b2333d3c1,CC,Control,Control,6,6,6,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":35,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":0,""visibility"":0}",5,5,6,5,"{""focus"":5,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":52,""mousedown"":9,""mouseup"":9,""resize"":0,""scroll"":1,""visibility"":0}",2,6,6,5,5,1,5,6,"{""focus"":11,""input"":10,""keydown"":0,""keyup"":0,""mousemove"":83,""mousedown"":15,""mouseup"":15,""resize"":0,""scroll"":1,""visibility"":0}"
69b5d74131631c0333607bec,CC,Control,Control,5,5,5,"{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":20,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":2,""visibility"":0}",6,5,5,5,"{""focus"":5,""input"":4,""keydown"":0,""keyup"":0,""mousemove"":27,""mousedown"":5,""mouseup"":5,""resize"":0,""scroll"":3,""visibility"":0}",2,5,5,5,5,2,5,6,"{""focus"":9,""input"":8,""keydown"":0,""keyup"":0,""mousemove"":33,""mousedown"":10,""mouseup"":10,""resize"":0,""scroll"":4,""visibility"":0}"
