participantId,group,lecture_type,practice_type,pre_q-class-level,pre_q-class-taken,pre_q-class-time,pre_q-correlation,pre_q-grade,pre_q-how-many,pre_q-slope
5e0b388b15ef4037cebdecc9,CC,Control,Control,High school,No,NA,How much the cause and effect of two sequences relate and influence one another.,I don't remember,NA,The direction of momentum.
64012ee6e3f2e59aaa36f718,CC,Control,Control,NA,No,NA,Correlation to me means something directly related to something else.,NA,NA,A slope is a downward trend of a statistic.
6448503fab8d495eb76b51b0,CC,Control,Control,NA,No,NA,"when one thing changes, the other changes as well",NA,NA,when numbers keep going in the same direction?
65ccca52871269168cc029b5,CC,Control,Control,High school,Yes,12 years ago,Two variables have a relationship (like x goes up y goes up) but aren't necessarily causing each other to change.,I don't remember,1,The incline/decline of a line on a graph
663eb286696a0a72e8f06e0f,CC,Control,Control,College (undergraduate),Yes,10 years,it means that two variables move together (like a relationship),A,1,it's the rate of change
6985cae61f4f48abdf956530,CC,Control,Control,College (undergraduate),Yes,35 years,"How strong the direction of a linear relationship is between two independent variables,",A,2,The ratio of the vertical and horizontal change between two data points on a graph.
698b661701f0981576ed9dec,CC,Control,Control,College (undergraduate),Yes,20,something that is similar or could be matched to.,A,1,something downhill could be referenced to a landscape or in an analysis chart of some sort.
69991d70dd2583a349d03468,CC,Control,Control,High school,No,NA,the relationship between 2 or more variables,I don't remember,NA,"slant, diagonal line"
699a436ee9032e2b2333d3c1,CC,Control,Control,College (undergraduate),Yes,2 years ago,A correlation is a measure of how close together two variables are.,A,2,A slope  is rise/run or how a change in one variable affect the change in another variable or vice versa.
69b5d74131631c0333607bec,CC,Control,Control,College (undergraduate),Yes,5 months ago,"A correlation is a relationship or association between two or more variables. Examples of correlations are positive (when one variable increases, so does the other), negative (when on variable increases, the other decreases), and none (when one variable increases/decreases, the other remains unchanged).",A,5 or more,"A slope is a measurement of steepness of a line, calculated as ""rise over run"", or ratio of vertical change to horizontal change."
69bad0d8d699e854ef8e8184,CC,Control,Control,College (undergraduate),Yes,Mathematical Statistics II,Correlation is a relation between two or more individual things.,B,5 or more,A slope is the value of the change of a line on a graph.
69c440c36f9c43fe1266a56b,CC,Control,Control,High school,Yes,4 years ago,Correalation to me is when two things are similar and find a mutual ground,C,2,slope to me is the slope of a line
69c59eeb6b373bc928a1aba9,CC,Control,Control,High school,No,NA,When there is a connection between different things that can be proved,NA,NA,data that goes up..? slowly (not sure sorry :( )
