participantId,group,lecture_type,practice_type,n_coded_items,prior_knowledge_score,prior_knowledge_mean,correlation_definition_score,slope_definition_score,prior_knowledge_z
5e0b388b15ef4037cebdecc9,CC,Control,Control,2,0.5,0.25,0.5,0,-1.191143080859919
64012ee6e3f2e59aaa36f718,CC,Control,Control,2,1,0.5,0.5,0.5,-0.2382286161719838
6448503fab8d495eb76b51b0,CC,Control,Control,2,1,0.5,0.5,0.5,-0.2382286161719838
65ccca52871269168cc029b5,CC,Control,Control,2,1.5,0.75,1,0.5,0.7146858485159514
663eb286696a0a72e8f06e0f,CC,Control,Control,2,1.5,0.75,0.5,1,0.7146858485159514
6985cae61f4f48abdf956530,CC,Control,Control,2,2,1,1,1,1.6676003132038866
698b661701f0981576ed9dec,CC,Control,Control,2,0.5,0.25,0.5,0,-1.191143080859919
69991d70dd2583a349d03468,CC,Control,Control,2,1,0.5,0.5,0.5,-0.2382286161719838
699a436ee9032e2b2333d3c1,CC,Control,Control,2,1.5,0.75,0.5,1,0.7146858485159514
69b5d74131631c0333607bec,CC,Control,Control,2,2,1,1,1,1.6676003132038866
69bad0d8d699e854ef8e8184,CC,Control,Control,2,1,0.5,0.5,0.5,-0.2382286161719838
69c440c36f9c43fe1266a56b,CC,Control,Control,2,0.5,0.25,0.5,0,-1.191143080859919
69c59eeb6b373bc928a1aba9,CC,Control,Control,2,1,0.5,0.5,0.5,-0.2382286161719838
69d5bc72bf90388665397b6e,CC,Control,Control,2,1,0.5,0.5,0.5,-0.2382286161719838
69e293f57120947b9a8408de,CC,Control,Control,2,1.5,0.75,0.5,1,0.7146858485159514
69e7ac40430645b3492b7f1b,CC,Control,Control,2,1,0.5,0.5,0.5,-0.2382286161719838
69e96cde65aa9df15260c718,CC,Control,Control,2,0.5,0.25,0,0.5,-1.191143080859919
69e9f6a993985bfec2114d70,CC,Control,Control,2,0.5,0.25,0,0.5,-1.191143080859919
69eae5f4f5ce43d5a34d388f,CC,Control,Control,2,0.5,0.25,0.5,0,-1.191143080859919
69ecc0e01df33a8b5fa811f2,CC,Control,Control,2,1,0.5,0.5,0.5,-0.2382286161719838
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,2,1.5,0.75,0.5,1,0.7146858485159514
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,2,1,0.5,0.5,0.5,-0.2382286161719838
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,2,1,0.5,0.5,0.5,-0.2382286161719838
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,2,1,0.5,0.5,0.5,-0.2382286161719838
676276312d87ec9601be7d5c,CP,Control,PlotWise,2,2,1,1,1,1.6676003132038866
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,2,2,1,1,1,1.6676003132038866
67eec9e200be02ad51843d9b,CP,Control,PlotWise,2,0,0,0,0,-2.144057545547854
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,2,2,1,1,1,1.6676003132038866
695bbdf21fd961458dd7390f,CP,Control,PlotWise,2,0.5,0.25,0.5,0,-1.191143080859919
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,2,2,1,1,1,1.6676003132038866
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,2,0,0,0,0,-2.144057545547854
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,2,1.5,0.75,0.5,1,0.7146858485159514
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,2,1.5,0.75,0.5,1,0.7146858485159514
69b64051157b8364c2a0afa6,CP,Control,PlotWise,2,0.5,0.25,0.5,0,-1.191143080859919
69baaee936d901eb8e30d457,CP,Control,PlotWise,2,1.5,0.75,0.5,1,0.7146858485159514
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,2,0.5,0.25,0.5,0,-1.191143080859919
69defab23a249a0b519c8f6d,CP,Control,PlotWise,2,0.5,0.25,0.5,0,-1.191143080859919
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,2,0.5,0.25,0.5,0,-1.191143080859919
69e696140295abac7fb9c28b,CP,Control,PlotWise,2,1,0.5,0.5,0.5,-0.2382286161719838
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,2,1.5,0.75,0.5,1,0.7146858485159514
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,2,0.5,0.25,0.5,0,-1.191143080859919
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,2,1,0.5,0.5,0.5,-0.2382286161719838
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,2,2,1,1,1,1.6676003132038866
66d88375799e00b593a8655f,PC,PlotWise,Control,2,0.5,0.25,0.5,0,-1.191143080859919
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,2,0.5,0.25,0.5,0,-1.191143080859919
69419e9576aea13f332266ff,PC,PlotWise,Control,2,1.5,0.75,0.5,1,0.7146858485159514
69442e09aea78e142db2e54f,PC,PlotWise,Control,2,1,0.5,0.5,0.5,-0.2382286161719838
69457dc95341cec41fca5695,PC,PlotWise,Control,2,1,0.5,0.5,0.5,-0.2382286161719838
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,2,1,0.5,0.5,0.5,-0.2382286161719838
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,2,1,0.5,0.5,0.5,-0.2382286161719838
69afafce3f7970642a6dc071,PC,PlotWise,Control,2,0.5,0.25,0.5,0,-1.191143080859919
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,2,1.5,0.75,0.5,1,0.7146858485159514
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,2,2,1,1,1,1.6676003132038866
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,2,2,1,1,1,1.6676003132038866
