participantId,group,lecture_type,practice_type,trialId,responseId,responsePrompt,answer,answer_num,answer_scored,scale_type,question_label,reverse,duration,cleanedDuration
5e0b388b15ef4037cebdecc9,CC,Control,Control,futureInterestSurvey,interest_any_study,NA,1,1,1,FutureInterest,Interested in any study,FALSE,9007,9007
5e0b388b15ef4037cebdecc9,CC,Control,Control,futureInterestSurvey,interest_dynamic_vis_study,NA,1,1,1,FutureInterest,Interested in a dynamic visualization study,FALSE,9007,9007
5e0b388b15ef4037cebdecc9,CC,Control,Control,futureInterestSurvey,interest_statistics_study,NA,1,1,1,FutureInterest,Interested in a statistics study,FALSE,9007,9007
5e0b388b15ef4037cebdecc9,CC,Control,Control,maintainedSituationalInterest,msi_enjoyed_learning,How much have you enjoyed learning about correlation and slope?,1,1,1,MSI,Enjoyed learning about correlation and slope,FALSE,11185,11185
5e0b388b15ef4037cebdecc9,CC,Control,Control,maintainedSituationalInterest,msi_excited,"Now please rate how you feel about the topics you encountered in this session.

How excited are you about correlation and slope?",1,1,1,MSI,Excited about correlation and slope,FALSE,11185,11185
5e0b388b15ef4037cebdecc9,CC,Control,Control,maintainedSituationalInterest,msi_interesting_corrslope,How interesting do you find correlation and slope?,1,1,1,MSI,Correlation and slope are interesting,FALSE,11185,11185
5e0b388b15ef4037cebdecc9,CC,Control,Control,maintainedSituationalInterest,msi_interesting_stats,How interesting do you find statistics?,1,1,1,MSI,Statistics is interesting,FALSE,11185,11185
5e0b388b15ef4037cebdecc9,CC,Control,Control,triggeredSituationalInterest,tsi_boring_video,The correlation and slope video was boring,5,5,2,TSI,Video was boring,TRUE,18919,18919
5e0b388b15ef4037cebdecc9,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_learning,I've enjoyed learning new things,1,1,1,TSI,Enjoyed learning new things,FALSE,18919,18919
5e0b388b15ef4037cebdecc9,CC,Control,Control,triggeredSituationalInterest,tsi_enjoyed_session,I've enjoyed this session,1,1,1,TSI,Enjoyed this session,FALSE,18919,18919
5e0b388b15ef4037cebdecc9,CC,Control,Control,triggeredSituationalInterest,tsi_fun_stats,It's been fun to learn about statistics this way,1,1,1,TSI,Fun to learn about statistics this way,FALSE,18919,18919
5e0b388b15ef4037cebdecc9,CC,Control,Control,triggeredSituationalInterest,tsi_fun_video,It was fun to watch the video,1,1,1,TSI,Video was fun,FALSE,18919,18919
5e0b388b15ef4037cebdecc9,CC,Control,Control,triggeredSituationalInterest,tsi_session_boring,This session has been boring,4,4,3,TSI,Session was boring,TRUE,18919,18919
5e0b388b15ef4037cebdecc9,CC,Control,Control,triggeredSituationalInterest,tsi_session_fun,This session has been fun,1,1,1,TSI,Session was fun,FALSE,18919,18919
