participantId,group,lecture_type,practice_type,scale_type,interest_n_items,composite
5e0b388b15ef4037cebdecc9,CC,Control,Control,FutureInterest,3,1
5e0b388b15ef4037cebdecc9,CC,Control,Control,MSI,4,1
5e0b388b15ef4037cebdecc9,CC,Control,Control,TSI,8,1.375
64012ee6e3f2e59aaa36f718,CC,Control,Control,FutureInterest,3,4.666666666666667
64012ee6e3f2e59aaa36f718,CC,Control,Control,MSI,4,3.5
64012ee6e3f2e59aaa36f718,CC,Control,Control,TSI,8,5
6448503fab8d495eb76b51b0,CC,Control,Control,FutureInterest,3,6
6448503fab8d495eb76b51b0,CC,Control,Control,MSI,4,4.25
6448503fab8d495eb76b51b0,CC,Control,Control,TSI,8,5.5
65ccca52871269168cc029b5,CC,Control,Control,FutureInterest,3,6
65ccca52871269168cc029b5,CC,Control,Control,MSI,4,1.5
65ccca52871269168cc029b5,CC,Control,Control,TSI,8,1.5
663eb286696a0a72e8f06e0f,CC,Control,Control,FutureInterest,3,6
663eb286696a0a72e8f06e0f,CC,Control,Control,MSI,4,3.5
663eb286696a0a72e8f06e0f,CC,Control,Control,TSI,8,5.375
6985cae61f4f48abdf956530,CC,Control,Control,FutureInterest,3,6
6985cae61f4f48abdf956530,CC,Control,Control,MSI,4,6
6985cae61f4f48abdf956530,CC,Control,Control,TSI,8,5.875
698b661701f0981576ed9dec,CC,Control,Control,FutureInterest,3,5.666666666666667
698b661701f0981576ed9dec,CC,Control,Control,MSI,4,4.5
698b661701f0981576ed9dec,CC,Control,Control,TSI,8,4.375
69991d70dd2583a349d03468,CC,Control,Control,FutureInterest,3,2.6666666666666665
69991d70dd2583a349d03468,CC,Control,Control,MSI,4,1
69991d70dd2583a349d03468,CC,Control,Control,TSI,8,1.125
699a436ee9032e2b2333d3c1,CC,Control,Control,FutureInterest,3,6
699a436ee9032e2b2333d3c1,CC,Control,Control,MSI,4,5.25
699a436ee9032e2b2333d3c1,CC,Control,Control,TSI,8,5.5
69b5d74131631c0333607bec,CC,Control,Control,FutureInterest,3,5
69b5d74131631c0333607bec,CC,Control,Control,MSI,4,5.25
69b5d74131631c0333607bec,CC,Control,Control,TSI,8,5.125
69bad0d8d699e854ef8e8184,CC,Control,Control,FutureInterest,3,6
69bad0d8d699e854ef8e8184,CC,Control,Control,MSI,4,4.75
69bad0d8d699e854ef8e8184,CC,Control,Control,TSI,8,4.125
69c440c36f9c43fe1266a56b,CC,Control,Control,FutureInterest,3,5
69c440c36f9c43fe1266a56b,CC,Control,Control,MSI,4,2.75
69c440c36f9c43fe1266a56b,CC,Control,Control,TSI,8,2.75
69c59eeb6b373bc928a1aba9,CC,Control,Control,FutureInterest,3,4
69c59eeb6b373bc928a1aba9,CC,Control,Control,MSI,4,3.5
69c59eeb6b373bc928a1aba9,CC,Control,Control,TSI,8,4.875
69d5bc72bf90388665397b6e,CC,Control,Control,FutureInterest,3,4.666666666666667
69d5bc72bf90388665397b6e,CC,Control,Control,MSI,4,3.5
69d5bc72bf90388665397b6e,CC,Control,Control,TSI,8,4.375
69e293f57120947b9a8408de,CC,Control,Control,FutureInterest,3,6
69e293f57120947b9a8408de,CC,Control,Control,MSI,4,5.25
69e293f57120947b9a8408de,CC,Control,Control,TSI,8,5.625
69e7ac40430645b3492b7f1b,CC,Control,Control,FutureInterest,3,5.333333333333333
69e7ac40430645b3492b7f1b,CC,Control,Control,MSI,4,2.75
69e7ac40430645b3492b7f1b,CC,Control,Control,TSI,8,3.5
69e96cde65aa9df15260c718,CC,Control,Control,FutureInterest,3,5.333333333333333
69e96cde65aa9df15260c718,CC,Control,Control,MSI,4,2.5
69e96cde65aa9df15260c718,CC,Control,Control,TSI,8,2.875
69e9f6a993985bfec2114d70,CC,Control,Control,FutureInterest,3,2.6666666666666665
69e9f6a993985bfec2114d70,CC,Control,Control,MSI,4,2
69e9f6a993985bfec2114d70,CC,Control,Control,TSI,8,3.5
69eae5f4f5ce43d5a34d388f,CC,Control,Control,FutureInterest,3,4
69eae5f4f5ce43d5a34d388f,CC,Control,Control,MSI,4,2
69eae5f4f5ce43d5a34d388f,CC,Control,Control,TSI,8,2.875
69ecc0e01df33a8b5fa811f2,CC,Control,Control,FutureInterest,3,6
69ecc0e01df33a8b5fa811f2,CC,Control,Control,MSI,4,5
69ecc0e01df33a8b5fa811f2,CC,Control,Control,TSI,8,4.875
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,FutureInterest,3,4.333333333333333
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,MSI,4,1
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,TSI,8,1.5
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,FutureInterest,3,6
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,MSI,4,3.75
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,TSI,8,5.25
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,FutureInterest,3,6
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,MSI,4,6
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,TSI,8,6
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,FutureInterest,3,6
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,MSI,4,2.5
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,TSI,8,3.5
676276312d87ec9601be7d5c,CP,Control,PlotWise,FutureInterest,3,6
676276312d87ec9601be7d5c,CP,Control,PlotWise,MSI,4,3.25
676276312d87ec9601be7d5c,CP,Control,PlotWise,TSI,8,5.5
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,FutureInterest,3,6
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,MSI,4,6
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,TSI,8,6
67eec9e200be02ad51843d9b,CP,Control,PlotWise,FutureInterest,3,1
67eec9e200be02ad51843d9b,CP,Control,PlotWise,MSI,4,1
67eec9e200be02ad51843d9b,CP,Control,PlotWise,TSI,8,2.875
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,FutureInterest,3,3.6666666666666665
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,MSI,4,3
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,TSI,8,3.25
695bbdf21fd961458dd7390f,CP,Control,PlotWise,FutureInterest,3,2
695bbdf21fd961458dd7390f,CP,Control,PlotWise,MSI,4,3.25
695bbdf21fd961458dd7390f,CP,Control,PlotWise,TSI,8,4.75
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,FutureInterest,3,6
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,MSI,4,5.25
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,TSI,8,4.75
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,FutureInterest,3,4.333333333333333
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,MSI,4,5.5
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,TSI,8,5.125
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,FutureInterest,3,6
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,MSI,4,5.75
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,TSI,8,6
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,FutureInterest,3,5
