participantId,group,lecture_type,practice_type,stat_type,n_items,n_valid,n_extreme,mean_abs_error,median_abs_error,mean_abs_error_all,median_abs_error_all,sign_error_rate
5e0b388b15ef4037cebdecc9,CC,Control,Control,correlation,8,8,0,0.6375,0.485,0.6375,0.485,0.625
5e0b388b15ef4037cebdecc9,CC,Control,Control,slope,7,7,0,0.04142857142857143,0.039999999999999925,0.04142857142857143,0.039999999999999925,0
64012ee6e3f2e59aaa36f718,CC,Control,Control,correlation,8,8,0,0.4175,0.39999999999999997,0.4175,0.39999999999999997,0.125
64012ee6e3f2e59aaa36f718,CC,Control,Control,slope,7,7,0,1.2228571428571429,1.53,1.2228571428571429,1.53,0.42857142857142855
6448503fab8d495eb76b51b0,CC,Control,Control,correlation,8,8,0,0.36874999999999997,0.35,0.36874999999999997,0.35,0
6448503fab8d495eb76b51b0,CC,Control,Control,slope,7,7,0,1.0614285714285714,0.16999999999999998,1.0614285714285714,0.16999999999999998,0
65ccca52871269168cc029b5,CC,Control,Control,correlation,8,8,0,0.2525,0.22,0.2525,0.22,0
65ccca52871269168cc029b5,CC,Control,Control,slope,7,7,0,0.09285714285714283,0.020000000000000018,0.09285714285714283,0.020000000000000018,0
663eb286696a0a72e8f06e0f,CC,Control,Control,correlation,8,8,0,0.2025,0.20000000000000004,0.2025,0.20000000000000004,0
663eb286696a0a72e8f06e0f,CC,Control,Control,slope,7,7,0,0.36428571428571427,0.38,0.36428571428571427,0.38,0
6985cae61f4f48abdf956530,CC,Control,Control,correlation,8,8,0,0.41625,0.18,0.41625,0.18,0.375
6985cae61f4f48abdf956530,CC,Control,Control,slope,7,7,0,0.10857142857142858,0.06999999999999995,0.10857142857142858,0.06999999999999995,0
698b661701f0981576ed9dec,CC,Control,Control,correlation,8,8,0,0.21625,0.195,0.21625,0.195,0.125
698b661701f0981576ed9dec,CC,Control,Control,slope,7,7,0,0.0642857142857143,0.030000000000000027,0.0642857142857143,0.030000000000000027,0
69991d70dd2583a349d03468,CC,Control,Control,correlation,8,8,0,0.25375000000000003,0.225,0.25375000000000003,0.225,0
69991d70dd2583a349d03468,CC,Control,Control,slope,7,7,0,0.18999999999999997,0.18999999999999995,0.18999999999999997,0.18999999999999995,0
699a436ee9032e2b2333d3c1,CC,Control,Control,correlation,8,8,0,0.23625,0.18500000000000003,0.23625,0.18500000000000003,0
699a436ee9032e2b2333d3c1,CC,Control,Control,slope,7,7,0,0.03714285714285714,0.030000000000000027,0.03714285714285714,0.030000000000000027,0
69b5d74131631c0333607bec,CC,Control,Control,correlation,8,8,0,0.1,0.06500000000000006,0.1,0.06500000000000006,0
69b5d74131631c0333607bec,CC,Control,Control,slope,7,7,0,0.05571428571428574,0.030000000000000027,0.05571428571428574,0.030000000000000027,0
69bad0d8d699e854ef8e8184,CC,Control,Control,correlation,8,8,0,0.19625000000000004,0.18500000000000003,0.19625000000000004,0.18500000000000003,0
69bad0d8d699e854ef8e8184,CC,Control,Control,slope,7,7,0,0.04285714285714285,0.039999999999999925,0.04285714285714285,0.039999999999999925,0
69c440c36f9c43fe1266a56b,CC,Control,Control,correlation,8,8,0,0.4975,0.5,0.4975,0.5,0.25
69c440c36f9c43fe1266a56b,CC,Control,Control,slope,7,7,0,0.36,0.5,0.36,0.5,0.14285714285714288
69c59eeb6b373bc928a1aba9,CC,Control,Control,correlation,8,8,0,0.501,0.419,0.501,0.419,0.375
69c59eeb6b373bc928a1aba9,CC,Control,Control,slope,7,7,0,0.6371428571428571,0.7,0.6371428571428571,0.7,0.42857142857142855
69d5bc72bf90388665397b6e,CC,Control,Control,correlation,8,8,0,0.1825,0.13499999999999995,0.1825,0.13499999999999995,0
69d5bc72bf90388665397b6e,CC,Control,Control,slope,7,7,0,0.09285714285714286,0.09999999999999998,0.09285714285714286,0.09999999999999998,0
69e293f57120947b9a8408de,CC,Control,Control,correlation,8,8,0,0.07249999999999998,0.054999999999999966,0.07249999999999998,0.054999999999999966,0
69e293f57120947b9a8408de,CC,Control,Control,slope,7,7,0,0.048571428571428564,0.030000000000000027,0.048571428571428564,0.030000000000000027,0
69e7ac40430645b3492b7f1b,CC,Control,Control,correlation,8,8,0,0.5675,0.44500000000000006,0.5675,0.44500000000000006,0.5
69e7ac40430645b3492b7f1b,CC,Control,Control,slope,7,7,0,0.6828571428571428,0.69,0.6828571428571428,0.69,0.42857142857142855
69e96cde65aa9df15260c718,CC,Control,Control,correlation,8,8,0,0.49124999999999996,0.5,0.49124999999999996,0.5,0.375
69e96cde65aa9df15260c718,CC,Control,Control,slope,7,1,6,0,0,48.11857142857143,44.71,0
69e9f6a993985bfec2114d70,CC,Control,Control,correlation,8,8,0,0.33375,0.32,0.33375,0.32,0
69e9f6a993985bfec2114d70,CC,Control,Control,slope,7,7,0,0.18142857142857144,0.20000000000000007,0.18142857142857144,0.20000000000000007,0
69eae5f4f5ce43d5a34d388f,CC,Control,Control,correlation,8,8,0,0.30874999999999997,0.3,0.30874999999999997,0.3,0
69eae5f4f5ce43d5a34d388f,CC,Control,Control,slope,7,7,0,0.23857142857142855,0.21000000000000002,0.23857142857142855,0.21000000000000002,0
