participantId,group,lecture_type,practice_type,source_file,trialId,responseId,responsePrompt,answer,duration,cleanedDuration,status,percentComplete
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",High school,141977,141977,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,No,141977,141977,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",NA,141977,141977,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",I don't remember,141977,141977,completed,100
5e0b388b15ef4037cebdecc9,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",NA,141977,141977,completed,100
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",NA,65568,65568,completed,100
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,No,65568,65568,completed,100
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",NA,65568,65568,completed,100
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",NA,65568,65568,completed,100
64012ee6e3f2e59aaa36f718,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",NA,65568,65568,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",NA,62485,62485,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,No,62485,62485,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",NA,62485,62485,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",NA,62485,62485,completed,100
6448503fab8d495eb76b51b0,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",NA,62485,62485,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",High school,141163,141163,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,141163,141163,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",12 years ago,141163,141163,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",I don't remember,141163,141163,completed,100
65ccca52871269168cc029b5,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",1,141163,141163,completed,100
663eb286696a0a72e8f06e0f,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),104082,104082,completed,100
663eb286696a0a72e8f06e0f,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,104082,104082,completed,100
663eb286696a0a72e8f06e0f,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",10 years,104082,104082,completed,100
663eb286696a0a72e8f06e0f,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",A,104082,104082,completed,100
663eb286696a0a72e8f06e0f,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",1,104082,104082,completed,100
6985cae61f4f48abdf956530,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),287702,287702,completed,100
6985cae61f4f48abdf956530,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,287702,287702,completed,100
6985cae61f4f48abdf956530,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",35 years,287702,287702,completed,100
6985cae61f4f48abdf956530,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",A,287702,287702,completed,100
6985cae61f4f48abdf956530,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",2,287702,287702,completed,100
698b661701f0981576ed9dec,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),96106,96106,completed,100
698b661701f0981576ed9dec,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,96106,96106,completed,100
698b661701f0981576ed9dec,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",20,96106,96106,completed,100
698b661701f0981576ed9dec,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",A,96106,96106,completed,100
698b661701f0981576ed9dec,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",1,96106,96106,completed,100
69991d70dd2583a349d03468,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",High school,104280,104280,completed,100
69991d70dd2583a349d03468,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,No,104280,104280,completed,100
69991d70dd2583a349d03468,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",NA,104280,104280,completed,100
69991d70dd2583a349d03468,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",I don't remember,104280,104280,completed,100
69991d70dd2583a349d03468,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",NA,104280,104280,completed,100
699a436ee9032e2b2333d3c1,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),136030,136030,completed,100
699a436ee9032e2b2333d3c1,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,136030,136030,completed,100
699a436ee9032e2b2333d3c1,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",2 years ago,136030,136030,completed,100
699a436ee9032e2b2333d3c1,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",A,136030,136030,completed,100
699a436ee9032e2b2333d3c1,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",2,136030,136030,completed,100
69b5d74131631c0333607bec,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),120041,120041,completed,100
69b5d74131631c0333607bec,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,120041,120041,completed,100
69b5d74131631c0333607bec,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",5 months ago,120041,120041,completed,100
69b5d74131631c0333607bec,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",A,120041,120041,completed,100
69b5d74131631c0333607bec,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",5 or more,120041,120041,completed,100
69bad0d8d699e854ef8e8184,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",College (undergraduate),147643,147643,completed,100
69bad0d8d699e854ef8e8184,CC,Control,Control,main-control-control.csv,pre questions,q-class-taken,Have you ever taken a statistics class?,Yes,147643,147643,completed,100
69bad0d8d699e854ef8e8184,CC,Control,Control,main-control-control.csv,pre questions,q-class-time,"If yes, how long ago was your most recent statistics class?",Mathematical Statistics II,147643,147643,completed,100
69bad0d8d699e854ef8e8184,CC,Control,Control,main-control-control.csv,pre questions,q-grade,"If yes, what grade did you get in the class?",B,147643,147643,completed,100
69bad0d8d699e854ef8e8184,CC,Control,Control,main-control-control.csv,pre questions,q-how-many,"If yes, how many statistics classes have you taken in total?",5 or more,147643,147643,completed,100
69c440c36f9c43fe1266a56b,CC,Control,Control,main-control-control.csv,pre questions,q-class-level,"If yes, what is the highest level of a statistics class you have taken?",High school,41261,41261,completed,100
