participantId,group,lecture_type,practice_type,stats_q-class-level,stats_q-class-taken,stats_q-class-time,stats_q-grade,stats_q-how-many
5e0b388b15ef4037cebdecc9,CC,Control,Control,High school,No,NA,I don't remember,NA
64012ee6e3f2e59aaa36f718,CC,Control,Control,NA,No,NA,NA,NA
6448503fab8d495eb76b51b0,CC,Control,Control,NA,No,NA,NA,NA
65ccca52871269168cc029b5,CC,Control,Control,High school,Yes,12 years ago,I don't remember,1
663eb286696a0a72e8f06e0f,CC,Control,Control,College (undergraduate),Yes,10 years,A,1
6985cae61f4f48abdf956530,CC,Control,Control,College (undergraduate),Yes,35 years,A,2
698b661701f0981576ed9dec,CC,Control,Control,College (undergraduate),Yes,20,A,1
69991d70dd2583a349d03468,CC,Control,Control,High school,No,NA,I don't remember,NA
699a436ee9032e2b2333d3c1,CC,Control,Control,College (undergraduate),Yes,2 years ago,A,2
69b5d74131631c0333607bec,CC,Control,Control,College (undergraduate),Yes,5 months ago,A,5 or more
69bad0d8d699e854ef8e8184,CC,Control,Control,College (undergraduate),Yes,Mathematical Statistics II,B,5 or more
69c440c36f9c43fe1266a56b,CC,Control,Control,High school,Yes,4 years ago,C,2
69c59eeb6b373bc928a1aba9,CC,Control,Control,High school,No,NA,NA,NA
69d5bc72bf90388665397b6e,CC,Control,Control,College (undergraduate),Yes,1 year ago,C,2
69e293f57120947b9a8408de,CC,Control,Control,College (undergraduate),Yes,NA,B,4
69e7ac40430645b3492b7f1b,CC,Control,Control,College (undergraduate),Yes,over 4 years,B,2
69e96cde65aa9df15260c718,CC,Control,Control,High school,Yes,11 years,I don't remember,1
69e9f6a993985bfec2114d70,CC,Control,Control,High school,No,NA,I don't remember,NA
69eae5f4f5ce43d5a34d388f,CC,Control,Control,High school,No,NA,I don't remember,NA
69ecc0e01df33a8b5fa811f2,CC,Control,Control,NA,No,NA,NA,NA
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,NA,No,NA,NA,NA
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,College (undergraduate),Yes,40 years ago,A,NA
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,High school,No,NA,I don't remember,NA
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,College (undergraduate),Yes,18 years,A,1
676276312d87ec9601be7d5c,CP,Control,PlotWise,College (undergraduate),Yes,10,C,1
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,College (undergraduate),Yes,5 years,A,1
67eec9e200be02ad51843d9b,CP,Control,PlotWise,NA,No,N/A,NA,NA
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,College (undergraduate),Yes,4 years ago,B,1
695bbdf21fd961458dd7390f,CP,Control,PlotWise,College (undergraduate),Yes,20,I don't remember,1
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,Graduate school,Yes,Currently,A,5 or more
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,NA,No,NA,NA,1
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,NA,No,NA,NA,NA
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,College (undergraduate),Yes,4 years ago,A,1
69b64051157b8364c2a0afa6,CP,Control,PlotWise,High school,No,NA,B,NA
69baaee936d901eb8e30d457,CP,Control,PlotWise,College (undergraduate),Yes,10 years,B,2
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,High school,No,NA,I don't remember,NA
69defab23a249a0b519c8f6d,CP,Control,PlotWise,NA,No,NA,NA,NA
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,High school,Yes,2 years ago,A,5 or more
69e696140295abac7fb9c28b,CP,Control,PlotWise,College (undergraduate),Yes,20 years ago,A,1
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,College (undergraduate),Yes,17 years ago,B,3
5cbcfce214b3cb0015f03471,PC,PlotWise,Control,NA,No,NA,NA,NA
65b6bb9487ad05cb475fbba5,PC,PlotWise,Control,College (undergraduate),Yes,35 years ago,I don't remember,1
666911bcb2b5e2fc50ace5e3,PC,PlotWise,Control,College (undergraduate),Yes,7 years ago,B,1
66d88375799e00b593a8655f,PC,PlotWise,Control,NA,No,NA,NA,NA
6706bc0d8c98b64939838b2e,PC,PlotWise,Control,High school,No,never,I don't remember,1
69419e9576aea13f332266ff,PC,PlotWise,Control,College (undergraduate),Yes,1 year ago,A,1
69442e09aea78e142db2e54f,PC,PlotWise,Control,High school,Yes,3 years ago.,A,1
69457dc95341cec41fca5695,PC,PlotWise,Control,High school,Yes,25,I don't remember,1
696a7d8e7ecb7691c3c716e0,PC,PlotWise,Control,NA,No,NA,NA,NA
69a1b3b7923c10f1c34bb345,PC,PlotWise,Control,High school,Yes,6,A,1
69afafce3f7970642a6dc071,PC,PlotWise,Control,College (undergraduate),Yes,10 years,C,1
69b2f88353d348d7b5d823f2,PC,PlotWise,Control,College (undergraduate),Yes,25,A,1
69b539c1ef7f025074f1dc49,PC,PlotWise,Control,College (undergraduate),Yes,5,A,2
69bcb74d06491ceeaf0fe09c,PC,PlotWise,Control,College (undergraduate),Yes,7 years,A,5 or more
69c13c0ad9ea03501703d527,PC,PlotWise,Control,College (undergraduate),Yes,5 years ago,A,1
69e50d6c5df8f2861c76a92e,PC,PlotWise,Control,NA,No,NA,NA,NA
69e7c4d7520b1a91f7a60d9e,PC,PlotWise,Control,College (undergraduate),Yes,1,A,2
69e913482ae5864d44e6387c,PC,PlotWise,Control,College (undergraduate),Yes,1 year ago,A,3
69ea51d8e9e2fcbd7e2a598a,PC,PlotWise,Control,College (undergraduate),Yes,1 year ago,B,2
69eb5bea0282ba37e5a2bae6,PC,PlotWise,Control,College (undergraduate),Yes,6 years ago,C,1
58a5cf959e040a0001399f07,PP,PlotWise,PlotWise,NA,No,NA,NA,NA
5e6439d24659d01c218bcbc9,PP,PlotWise,PlotWise,High school,Yes,10 years ago,A,1
62b9f3589e8d599c11a2f9fc,PP,PlotWise,PlotWise,College (undergraduate),Yes,20,I don't remember,1
6413bee5234ad46e9fc4ba75,PP,PlotWise,PlotWise,College (undergraduate),Yes,33 years ago,B,2
660db7a0e45001b3e976309e,PP,PlotWise,PlotWise,College (undergraduate),Yes,20 years,A,1
66632c96e56c2cc87923bf78,PP,PlotWise,PlotWise,College (undergraduate),Yes,"in college, over 25 years",B,2
66abc79f0812c1f89a25adfb,PP,PlotWise,PlotWise,NA,No,NA,NA,NA
67204af156acf704058c6e66,PP,PlotWise,PlotWise,High school,Yes,11,A,1
6941f12abe152014b1fc152a,PP,PlotWise,PlotWise,College (undergraduate),Yes,8 years ago,C,1
697923c3e017b9ae8d36422f,PP,PlotWise,PlotWise,NA,No,NA,NA,NA
69838c967c78c6ef18426fba,PP,PlotWise,PlotWise,College (undergraduate),Yes,19 years ago,A,1
69a1a10db5dd5cc2b0fd9120,PP,PlotWise,PlotWise,High school,Yes,8 years ago,A,1
69a273aa8ea44b93a7c318fa,PP,PlotWise,PlotWise,College (undergraduate),Yes,5,A,5 or more
69d42f9c4bd9803351e64126,PP,PlotWise,PlotWise,High school,Yes,10 years ago,B,1
69d6384637b632d34190012d,PP,PlotWise,PlotWise,NA,No,NA,NA,NA
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,College (undergraduate),Yes,Currently in one,B,4
