participantId,trialId,trialOrder,responseId,stage,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,parameters_src,parameters_taskid,parameters_nextButtonText,parameters_maxWidth,parameters_margin,parameters_aspectRatio,parameters_hideNextUntilComplete,parameters_preventSeek,parameters_responseId,parameters_minTasks,parameters_height,parameters_expectedSource,parameters_question,parameters_imgSrc,parameters_imgLabel,parameters_statType,parameters_leftImgSrc,parameters_rightImgSrc,parameters_leftLabel,parameters_rightLabel,parameters_instruction,parameters_requiredPoints,parameters_seedPoints,parameters_gifSrc
"5d88db42c1d06e001a1fdcab","participantTags","","participantTags","DEFAULT","","","","","","","","[""pilot-sequence"",""guess-slope-sequence"",""guess-correlation-sequence""]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","consent","0","prolificId","DEFAULT","completed","","","","100.00","","Please enter your Prolific ID","5d88db42c1d06e001a1fdcab","","11077","11077","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","consent","0","accept","DEFAULT","completed","","","","100.00","","Are you ready to continue?","Accept","","11077","11077","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","consent","0","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":1,""keydown"":0,""keyup"":0,""mousemove"":25,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","$screen-recording.components.screenRecordingPermission","1","screenRecordingPermission","DEFAULT","completed","","Get permission to start Screen recording","","100.00","","Screen recording enabled","true","","49700","49700","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","$screen-recording.components.screenRecordingPermission","1","windowEvents","DEFAULT","","","","","","","","{""focus"":8,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":59,""mousedown"":2,""mouseup"":2,""resize"":1,""scroll"":0,""visibility"":2}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","intro","2","","DEFAULT","completed","","","","100.00","","","","","4541","4541","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","intro","2","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":13,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","pre questions","3","q-correlation","DEFAULT","completed","","","","100.00","","In your own words, please describe what a correlation is:","The relationship between two things and how they are alike.","","71097","71097","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","pre questions","3","q-slope","DEFAULT","completed","","","","100.00","","In your own words, please describe what a slope is:","The steepness of a line","","71097","71097","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","pre questions","3","q-class-taken","DEFAULT","completed","","","","100.00","","Have you ever taken a statistics class?","No","","71097","71097","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","pre questions","3","q-how-many","DEFAULT","completed","","","","100.00","","If yes, how many statistics classes have you taken in total?","","","71097","71097","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","pre questions","3","q-class-time","DEFAULT","completed","","","","100.00","","If yes, how long ago was your most recent statistics class?","","","71097","71097","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","pre questions","3","q-class-level","DEFAULT","completed","","","","100.00","","If yes, what is the highest level of a statistics class you have taken?","","","71097","71097","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","pre questions","3","q-grade","DEFAULT","completed","","","","100.00","","If yes, what grade did you get in the class?","","","71097","71097","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","pre questions","3","windowEvents","DEFAULT","","","","","","","","{""focus"":5,""input"":52,""keydown"":56,""keyup"":55,""mousemove"":60,""mousedown"":6,""mouseup"":6,""resize"":0,""scroll"":7,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d88db42c1d06e001a1fdcab","video-instruction","4","","DEFAULT","completed","","","","100.00","","","","","5587","5587","","","","","","","","","","","","","","","","","","","","","","","",""
