participantId,trialId,trialOrder,responseId,stage,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,parameters_src,parameters_taskid,parameters_nextButtonText,parameters_maxWidth,parameters_margin,parameters_aspectRatio,parameters_hideNextUntilComplete,parameters_preventSeek,parameters_question,parameters_imgSrc,parameters_imgLabel,parameters_statType,parameters_responseId,parameters_instruction,parameters_imgSrcs,parameters_imgLabels,parameters_options,parameters_questionType,parameters_rankPrompts,parameters_pickQuestion,parameters_pickOptions,parameters_title,parameters_intro,parameters_sections,parameters_leftImgSrc,parameters_rightImgSrc,parameters_leftLabel,parameters_rightLabel,parameters_requiredPoints,parameters_seedPoints,parameters_gifSrc
"5cbcfce214b3cb0015f03471","participantTags","","participantTags","DEFAULT","","","","","","","","[""pilot-sequence"",""guess-slope-sequence"",""guess-correlation-sequence""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5cbcfce214b3cb0015f03471","consent","0","prolificId","DEFAULT","completed","","","","100.00","","Please enter your Prolific ID","5cbcfce214b3cb0015f03471","","12900","12900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5cbcfce214b3cb0015f03471","consent","0","accept","DEFAULT","completed","","","","100.00","","Are you ready to continue?","Accept","","12900","12900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5cbcfce214b3cb0015f03471","consent","0","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":1,""keydown"":0,""keyup"":0,""mousemove"":24,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":12,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5cbcfce214b3cb0015f03471","$screen-recording.components.screenRecordingPermission","1","screenRecordingPermission","DEFAULT","completed","","Get permission to start Screen recording","","100.00","","Screen recording enabled","true","","35561","35561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5cbcfce214b3cb0015f03471","$screen-recording.components.screenRecordingPermission","1","windowEvents","DEFAULT","","","","","","","","{""focus"":4,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":60,""mousedown"":2,""mouseup"":2,""resize"":1,""scroll"":14,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5cbcfce214b3cb0015f03471","intro","2","","DEFAULT","completed","","","","100.00","","","","","6919","6919","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5cbcfce214b3cb0015f03471","intro","2","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":17,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":1,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5cbcfce214b3cb0015f03471","pre questions","3","q-correlation","DEFAULT","completed","","","","100.00","","In your own words, please describe what a correlation is:","When two things coincide with one another.","","119834","119834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5cbcfce214b3cb0015f03471","pre questions","3","q-slope","DEFAULT","completed","","","","100.00","","In your own words, please describe what a slope is:","When an incline moves downward at a gradual angle. ","","119834","119834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
