participantId,trialId,trialOrder,responseId,stage,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,parameters_src,parameters_taskid,parameters_nextButtonText,parameters_maxWidth,parameters_margin,parameters_aspectRatio,parameters_hideNextUntilComplete,parameters_preventSeek,parameters_responseId,parameters_minTasks,parameters_height,parameters_expectedSource,parameters_question,parameters_imgSrc,parameters_imgLabel,parameters_statType,parameters_leftImgSrc,parameters_rightImgSrc,parameters_leftLabel,parameters_rightLabel,parameters_instruction,parameters_requiredPoints,parameters_seedPoints,parameters_gifSrc
"58a5cf959e040a0001399f07","participantTags","","participantTags","DEFAULT","","","","","","","","[""pilot-sequence"",""guess-slope-sequence"",""guess-correlation-sequence""]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58a5cf959e040a0001399f07","consent","0","prolificId","DEFAULT","completed","","","","100.00","","Please enter your Prolific ID","58a5cf959e040a0001399f07","","40602","40602","","","","","","","","","","","","","","","","","","","","","","","",""
"58a5cf959e040a0001399f07","consent","0","accept","DEFAULT","completed","","","","100.00","","Are you ready to continue?","Accept","","40602","40602","","","","","","","","","","","","","","","","","","","","","","","",""
"58a5cf959e040a0001399f07","consent","0","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":1,""keydown"":0,""keyup"":0,""mousemove"":23,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":1,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58a5cf959e040a0001399f07","$screen-recording.components.screenRecordingPermission","1","screenRecordingPermission","DEFAULT","completed","","Get permission to start Screen recording","","100.00","","Screen recording enabled","true","","20042","20042","","","","","","","","","","","","","","","","","","","","","","","",""
"58a5cf959e040a0001399f07","$screen-recording.components.screenRecordingPermission","1","windowEvents","DEFAULT","","","","","","","","{""focus"":4,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":18,""mousedown"":2,""mouseup"":2,""resize"":1,""scroll"":2,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58a5cf959e040a0001399f07","intro","2","","DEFAULT","completed","","","","100.00","","","","","5031","5031","","","","","","","","","","","","","","","","","","","","","","","",""
"58a5cf959e040a0001399f07","intro","2","windowEvents","DEFAULT","","","","","","","","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":5,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58a5cf959e040a0001399f07","pre questions","3","q-correlation","DEFAULT","completed","","","","100.00","","In your own words, please describe what a correlation is:","A correlation is when two separate things have a trend in common or can be related to one another.","","85732","85732","","","","","","","","","","","","","","","","","","","","","","","",""
"58a5cf959e040a0001399f07","pre questions","3","q-slope","DEFAULT","completed","","","","100.00","","In your own words, please describe what a slope is:","Slope is the change in a line graph's y-axis coordinates.","","85732","85732","","","","","","","","","","","","","","","","","","","","","","","",""
"58a5cf959e040a0001399f07","pre questions","3","q-class-taken","DEFAULT","completed","","","","100.00","","Have you ever taken a statistics class?","No","","85732","85732","","","","","","","","","","","","","","","","","","","","","","","",""
"58a5cf959e040a0001399f07","pre questions","3","q-how-many","DEFAULT","completed","","","","100.00","","If yes, how many statistics classes have you taken in total?","","","85732","85732","","","","","","","","","","","","","","","","","","","","","","","",""
"58a5cf959e040a0001399f07","pre questions","3","q-class-time","DEFAULT","completed","","","","100.00","","If yes, how long ago was your most recent statistics class?","","","85732","85732","","","","","","","","","","","","","","","","","","","","","","","",""
"58a5cf959e040a0001399f07","pre questions","3","q-class-level","DEFAULT","completed","","","","100.00","","If yes, what is the highest level of a statistics class you have taken?","","","85732","85732","","","","","","","","","","","","","","","","","","","","","","","",""
