outcome,group,observed_mean,boot_mean,ci_low,ci_high
add_points_pct_r_correct,CC,0.75,0.7509533333333334,0.6333333333333333,0.8666666666666667
add_points_pct_r_correct,CP,0.65,0.6502666666666667,0.5666666666666667,0.7333333333333333
add_points_pct_r_correct,PC,0.7333333333333333,0.73485,0.6166666666666667,0.85
add_points_pct_r_correct,PP,0.85,0.84992,0.7666666666666666,0.9333333333333333
add_points_mean_intended_delta_r,CC,0.12049333333333333,0.12082310866666666,0.055097875,0.1907725
add_points_mean_intended_delta_r,CP,0.07965333333333333,0.08014607466666665,0.02164983333333332,0.1378000833333333
add_points_mean_intended_delta_r,PC,0.1644,0.16495911966666665,0.08461724999999999,0.2442954583333333
add_points_mean_intended_delta_r,PP,0.19275499999999998,0.192833945,0.138619625,0.24616570833333332
add_points_mean_abs_delta_slope,CC,0.25277166666666667,0.252667732,0.19000154166666663,0.3273491666666666
add_points_mean_abs_delta_slope,CP,0.18947833333333333,0.18858270233333332,0.13413916666666667,0.25480670833333335
add_points_mean_abs_delta_slope,PC,0.245115,0.24477811633333332,0.1907900416666667,0.30291745833333333
add_points_mean_abs_delta_slope,PP,0.21681,0.216906404,0.17403358333333335,0.2634623333333333
