group,trialId,task_goal,n_participants,n_correct_direction,pct_correct_direction,mean_intended_delta_r,median_intended_delta_r,mean_abs_delta_slope,median_abs_delta_slope
CC,add-points-1,Increase positive correlation,20,19,0.95,0.17452000000000004,0.15435,0.18651500000000001,0.1648
CP,add-points-1,Increase positive correlation,20,12,0.6,0.02484500000000002,0.06015000000000004,0.16478500000000001,0.12175000000000002
PC,add-points-1,Increase positive correlation,20,17,0.85,0.21139500000000003,0.20085000000000003,0.19104500000000002,0.16875
PP,add-points-1,Increase positive correlation,20,17,0.85,0.15592500000000004,0.11250000000000004,0.153465,0.11804999999999999
CC,add-points-2,Increase negative correlation,20,11,0.55,0.08337999999999998,0.034349999999999964,0.31461,0.22154999999999997
CP,add-points-2,Increase negative correlation,20,14,0.7,0.17133499999999996,0.1594,0.209995,0.16265000000000002
PC,add-points-2,Increase negative correlation,20,14,0.7,0.1993,0.19915,0.27688,0.18469999999999998
PP,add-points-2,Increase negative correlation,20,16,0.8,0.24962499999999999,0.20579999999999998,0.29197,0.21015
CC,add-points-3,Move correlation closer to zero,20,15,0.75,0.10357999999999999,0.12234999999999999,0.25719,0.21134999999999998
CP,add-points-3,Move correlation closer to zero,20,13,0.65,0.04277999999999996,0.047799999999999974,0.193655,0.16265000000000002
PC,add-points-3,Move correlation closer to zero,20,13,0.65,0.08250499999999998,0.12869999999999998,0.26742,0.2269
PP,add-points-3,Move correlation closer to zero,20,18,0.9,0.17271499999999998,0.20645,0.20499499999999998,0.16449999999999998
