column_name,column_type,n_missing,pct_missing
correctAnswer,logical,14880,1
instruction,logical,14880,1
rejectReason,logical,14880,1
rejectTime,logical,14880,1
parameters_intro,character,14840,0.9973118279569892
parameters_rankPrompts,character,14840,0.9973118279569892
parameters_sections,character,14840,0.9973118279569892
parameters_title,character,14840,0.9973118279569892
description,character,14800,0.9946236559139785
parameters_aspectRatio,character,14800,0.9946236559139785
parameters_expectedSource,character,14800,0.9946236559139785
parameters_height,numeric,14800,0.9946236559139785
parameters_hideNextUntilComplete,logical,14800,0.9946236559139785
parameters_margin,character,14800,0.9946236559139785
parameters_maxWidth,numeric,14800,0.9946236559139785
parameters_minTasks,numeric,14800,0.9946236559139785
parameters_nextButtonText,character,14800,0.9946236559139785
parameters_options,character,14800,0.9946236559139785
parameters_pickOptions,character,14800,0.9946236559139785
parameters_pickQuestion,character,14800,0.9946236559139785
parameters_preventSeek,logical,14800,0.9946236559139785
parameters_taskid,character,14800,0.9946236559139785
parameters_questionType,character,14760,0.9919354838709677
parameters_leftImgSrc,character,14720,0.989247311827957
parameters_leftLabel,character,14720,0.989247311827957
parameters_rightImgSrc,character,14720,0.989247311827957
parameters_rightLabel,character,14720,0.989247311827957
parameters_src,character,14720,0.989247311827957
parameters_imgLabels,character,14680,0.9865591397849462
parameters_imgSrcs,character,14680,0.9865591397849462
parameters_gifSrc,character,14640,0.9838709677419355
parameters_requiredPoints,numeric,14640,0.9838709677419355
parameters_seedPoints,character,14640,0.9838709677419355
parameters_instruction,character,14440,0.9704301075268817
responsePrompt,character,12560,0.8440860215053764
parameters_imgLabel,character,8880,0.5967741935483871
parameters_imgSrc,character,8880,0.5967741935483871
parameters_statType,character,8880,0.5967741935483871
parameters_question,character,8640,0.5806451612903226
parameters_responseId,character,8200,0.5510752688172043
cleanedDuration,numeric,4520,0.30376344086021506
duration,numeric,4520,0.30376344086021506
percentComplete,numeric,4520,0.30376344086021506
status,character,4520,0.30376344086021506
answer,character,445,0.029905913978494625
responseId,character,360,0.024193548387096774
trialOrder,numeric,80,0.005376344086021506
group,factor,0,0
lecture_type,factor,0,0
participantId,character,0,0
practice_type,factor,0,0
source_file,character,0,0
stage,character,0,0
trialId,character,0,0
