group,responseId,n_rows
CC,accept,20
CC,add_points,60
CC,additional-questions,20
CC,axis_swap_correlation_response,20
CC,axis_swap_slope_response,20
CC,bonus-strong-r_response,20
CC,bonus-weak-r_response,20
CC,break,160
CC,graph_choice,40
CC,interest_any_study,20
CC,interest_dynamic_vis_study,20
CC,interest_statistics_study,20
CC,msi_enjoyed_learning,20
CC,msi_excited,20
CC,msi_interesting_corrslope,20
CC,msi_interesting_stats,20
CC,participantTags,20
CC,practice_solutions_viewed,20
CC,prolificId,20
CC,q-class-level,20
CC,q-class-taken,20
CC,q-class-time,20
CC,q-correlation,40
CC,q-different,20
CC,q-grade,20
CC,q-how-many,20
CC,q-motivation,20
CC,q-same,20
CC,q-slope,40
CC,same-slope-different-r_response,20
CC,screenRecordingPermission,20
CC,stat_guess,640
CC,stat_guess_initial,640
CC,stat_guess_sign,640
CC,switch-question-response-a,20
CC,switch-question-response-b,20
CC,tsi_boring_video,20
CC,tsi_enjoyed_learning,20
CC,tsi_enjoyed_session,20
CC,tsi_fun_stats,20
CC,tsi_fun_video,20
CC,tsi_session_boring,20
CC,tsi_session_fun,20
CC,tsi_session_interesting,20
CC,video_done,20
CC,windowEvents,1320
CC,NA,100
CP,accept,20
CP,add_points,60
CP,additional-questions,20
CP,break,120
CP,graph_choice,40
CP,interest_any_study,20
CP,interest_dynamic_vis_study,20
CP,interest_statistics_study,20
CP,msi_enjoyed_learning,20
CP,msi_excited,20
CP,msi_interesting_corrslope,20
CP,msi_interesting_stats,20
CP,participantTags,20
CP,plotwise_progress,40
CP,prolificId,20
CP,q-class-level,20
CP,q-class-taken,20
CP,q-class-time,20
CP,q-correlation,40
CP,q-different,20
CP,q-grade,20
CP,q-how-many,20
CP,q-motivation,20
CP,q-same,20
CP,q-slope,40
CP,screenRecordingPermission,20
CP,stat_guess,360
CP,stat_guess_initial,360
CP,stat_guess_sign,360
CP,switch-question-response-a,20
CP,switch-question-response-b,20
CP,tsi_boring_video,20
CP,tsi_enjoyed_learning,20
CP,tsi_enjoyed_session,20
CP,tsi_fun_stats,20
CP,tsi_fun_video,20
CP,tsi_session_boring,20
CP,tsi_session_fun,20
CP,tsi_session_interesting,20
CP,video_done,20
CP,windowEvents,900
CP,NA,80
PC,accept,20
PC,add_points,60
PC,additional-questions,20
PC,axis_swap_correlation_response,20
PC,axis_swap_slope_response,20
PC,bonus-strong-r_response,20
PC,bonus-weak-r_response,20
PC,break,160
PC,graph_choice,40
PC,interest_any_study,20
PC,interest_dynamic_vis_study,20
PC,interest_statistics_study,20
PC,msi_enjoyed_learning,20
PC,msi_excited,20
PC,msi_interesting_corrslope,20
PC,msi_interesting_stats,20
PC,participantTags,20
PC,practice_solutions_viewed,20
PC,prolificId,20
PC,q-class-level,20
PC,q-class-taken,20
PC,q-class-time,20
PC,q-correlation,40
PC,q-different,20
PC,q-grade,20
PC,q-how-many,20
PC,q-motivation,20
PC,q-same,20
PC,q-slope,40
PC,same-slope-different-r_response,20
PC,screenRecordingPermission,20
PC,stat_guess,640
PC,stat_guess_initial,640
PC,stat_guess_sign,640
PC,switch-question-response-a,20
PC,switch-question-response-b,20
PC,tsi_boring_video,20
PC,tsi_enjoyed_learning,20
PC,tsi_enjoyed_session,20
PC,tsi_fun_stats,20
PC,tsi_fun_video,20
PC,tsi_session_boring,20
PC,tsi_session_fun,20
PC,tsi_session_interesting,20
PC,video_done,20
PC,windowEvents,1320
PC,NA,100
PP,accept,20
PP,add_points,60
PP,additional-questions,20
PP,break,120
PP,graph_choice,40
PP,interest_any_study,20
PP,interest_dynamic_vis_study,20
PP,interest_statistics_study,20
PP,msi_enjoyed_learning,20
PP,msi_excited,20
PP,msi_interesting_corrslope,20
PP,msi_interesting_stats,20
PP,participantTags,20
PP,plotwise_progress,40
PP,prolificId,20
PP,q-class-level,20
PP,q-class-taken,20
PP,q-class-time,20
PP,q-correlation,40
PP,q-different,20
PP,q-grade,20
PP,q-how-many,20
PP,q-motivation,20
PP,q-same,20
PP,q-slope,40
PP,screenRecordingPermission,20
PP,stat_guess,360
PP,stat_guess_initial,360
PP,stat_guess_sign,360
PP,switch-question-response-a,20
PP,switch-question-response-b,20
PP,tsi_boring_video,20
PP,tsi_enjoyed_learning,20
PP,tsi_enjoyed_session,20
PP,tsi_fun_stats,20
PP,tsi_fun_video,20
PP,tsi_session_boring,20
PP,tsi_session_fun,20
PP,tsi_session_interesting,20
PP,video_done,20
PP,windowEvents,900
PP,NA,80
