group,trialId,n_rows
CC,$screen-recording.components.screenRecordingPermission,40
CC,add-points,40
CC,add-points-1,40
CC,add-points-2,40
CC,add-points-3,40
CC,after-watch,40
CC,assessment intro,40
CC,assessment questions part one,80
CC,assessment-guess-correlation,40
CC,assessment-guess-slope,40
CC,bonus-intro,40
CC,choose-strongest-r-1,40
CC,choose-strongest-r-2,40
CC,compare-r,40
CC,connection-making,100
CC,consent,60
CC,control-axis-swap-correlation,40
CC,control-axis-swap-slope,40
CC,control-bonus-strong-r,40
CC,control-bonus-weak-r,40
CC,control-r-1,80
CC,control-r-2,80
CC,control-r-3,80
CC,control-r-4,80
CC,control-r-5,80
CC,control-r-6,80
CC,control-r-7,80
CC,control-r-8,80
CC,control-same-slope-different-r,40
CC,control-slope-1,80
CC,control-slope-2,80
CC,control-slope-3,80
CC,control-slope-4,80
CC,control-slope-5,80
CC,control-slope-6,80
CC,control-video,40
CC,futureInterestSurvey,80
CC,guess-correlation,40
CC,guess-correlation-1,80
CC,guess-correlation-10,80
CC,guess-correlation-11,80
CC,guess-correlation-2,80
CC,guess-correlation-3,80
CC,guess-correlation-4,80
CC,guess-correlation-5,80
CC,guess-correlation-6,80
CC,guess-correlation-7,80
CC,guess-correlation-8,80
CC,guess-correlation-9,80
CC,guess-slope,40
CC,guess-slope-1,80
CC,guess-slope-2,80
CC,guess-slope-3,80
CC,guess-slope-4,80
CC,guess-slope-5,80
CC,guess-slope-6,80
CC,guess-slope-7,80
CC,interest-survey-intro,40
CC,intro,40
CC,maintainedSituationalInterest,100
CC,participantTags,20
CC,practice-solutions,40
CC,pre questions,160
CC,reflect,40
CC,thinkaloud,40
CC,triggeredSituationalInterest,180
CC,video-instruction,40
CP,$screen-recording.components.screenRecordingPermission,40
CP,add-points,40
CP,add-points-1,40
CP,add-points-2,40
CP,add-points-3,40
CP,after-watch,40
CP,assessment intro,40
CP,assessment questions part one,80
CP,assessment-guess-correlation,40
CP,assessment-guess-slope,40
CP,choose-strongest-r-1,40
CP,choose-strongest-r-2,40
CP,compare-r,40
CP,connection-making,100
CP,consent,60
CP,control-video,40
CP,futureInterestSurvey,80
CP,guess-correlation-1,80
CP,guess-correlation-10,80
CP,guess-correlation-11,80
CP,guess-correlation-2,80
CP,guess-correlation-3,80
CP,guess-correlation-4,80
CP,guess-correlation-5,80
CP,guess-correlation-6,80
CP,guess-correlation-7,80
CP,guess-correlation-8,80
CP,guess-correlation-9,80
CP,guess-slope-1,80
CP,guess-slope-2,80
CP,guess-slope-3,80
CP,guess-slope-4,80
CP,guess-slope-5,80
CP,guess-slope-6,80
CP,guess-slope-7,80
CP,interest-survey-intro,40
CP,intro,40
CP,maintainedSituationalInterest,100
CP,paint-brush,40
CP,participantTags,20
CP,point-clicker,40
CP,pre questions,160
CP,reflect,40
CP,thinkaloud,40
CP,triggeredSituationalInterest,180
CP,video-instruction,40
PC,$screen-recording.components.screenRecordingPermission,40
PC,add-points,40
PC,add-points-1,40
PC,add-points-2,40
PC,add-points-3,40
PC,after-watch,40
PC,assessment intro,40
PC,assessment questions part one,80
PC,assessment-guess-correlation,40
PC,assessment-guess-slope,40
